ENSP00000289316	HIST1H2BD
ENSP00000193322	OSTM1
ENSP00000248384	OR1E2
ENSP00000432549	DENND5A
ENSP00000418798	CREM
ENSP00000418799	TUBAL3
ENSP00000418792	MSL3
ENSP00000418793	PLA1A
ENSP00000418790	KALRN
ENSP00000418791	MME
ENSP00000418796	TMEM39A
ENSP00000418797	HHLA2
ENSP00000418794	PUS7
ENSP00000418795	WDR52
ENSP00000441848	KCNJ2
ENSP00000441849	AP000280.2
ENSP00000441840	VPS13A
ENSP00000441841	MDM2
ENSP00000303575	NUDT9
ENSP00000441843	TMEM86A
ENSP00000441844	REXO2
ENSP00000441845	MTR
ENSP00000441846	AMN1
ENSP00000303570	ANKMY2
ENSP00000218758	ACP5
ENSP00000397182	TFG
ENSP00000397181	RGS4
ENSP00000397180	NEK11
ENSP00000397187	MSH5
ENSP00000397185	NFE2
ENSP00000397184	MIS18BP1
ENSP00000397189	CALCOCO1
ENSP00000397188	FAM104B
ENSP00000292879	U2AF1L4
ENSP00000396858	AC002553.1
ENSP00000354340	UBA3
ENSP00000354341	MEPE
ENSP00000396854	USP39
ENSP00000396855	LYPD6
ENSP00000396850	TBC1D5
ENSP00000354347	GFPT1
ENSP00000359066	AVPR2
ENSP00000369948	SLC22A18
ENSP00000369949	ELN
ENSP00000369946	ADRA1A
ENSP00000369947	ADRA1A
ENSP00000369944	ADAMTSL1
ENSP00000369942	GCOM1
ENSP00000369943	GCOM1
ENSP00000369940	ADAMTSL1
ENSP00000369941	OFD1
ENSP00000390867	PRPF39
ENSP00000390866	EGFL8
ENSP00000390861	LRRC68
ENSP00000390860	HLA-C
ENSP00000219409	ARHGDIG
ENSP00000390862	LIMS1
ENSP00000323034	FAM83A
ENSP00000219406	PDIA2
ENSP00000323036	ACPP
ENSP00000390869	GATSL3
ENSP00000390868	NRCAM
ENSP00000323032	ZNF318
ENSP00000219400	C16orf61
ENSP00000246186	MMP24
ENSP00000238256	FKBP15
ENSP00000447033	IL32
ENSP00000447032	ASPG
ENSP00000447031	OS9
ENSP00000447030	TMBIM6
ENSP00000447037	ARFGAP1
ENSP00000447036	BTNL2
ENSP00000447035	SYT1
ENSP00000447034	BTNL2
ENSP00000402917	GGT5
ENSP00000447039	RXRB
ENSP00000447038	MDC1
ENSP00000402913	SEC24C
ENSP00000402912	GRM5
ENSP00000402911	ITSN2
