Q8NCM8-2	DYNC2H1
G3V2N0	GNG2
Q9H0V9	LMAN2L
E5RIZ0	TTI2
Q9UIL1-2	SCOC
E9PRQ4	NDUFC2-KCTD14
H0Y9A5	TSPAN17
H0YN74	GMPR2
E5RJZ2	CTNNA1
H3BVF3	NDRG4
Q9BU89	DOHH
D6RBE4	TCP11
E5RJK7	LYRM2
Q9BRR6-4	ADPGK
K7EMF8	ACADVL
Q8NH21	OR4F5
E9PJ50	ZNF48
G3V130	MTERFD1
E9PMZ0	MYB
F2Z2D8	ATP9B
Q04726-2	TLE3
H0Y8H4	NEDD4
H0Y4A7	BRWD1
B8A6G2	RPL10
J3QSU1	LRRC37B
F2Z2N0	ADHFE1
Q16587-3	ZNF74
D6R980	UBE2D3
E9PLC9	CAPN1
B4E3H9	GNLY
B7Z1H8	GABRA2
B8ZZ81	AGPS
H3BV47	KIFC3
J3KSV0	LGALS9C
Q6ICL3-3	C22orf25
H0YHN7	CPM
E5RG43	CA1
H3BPH3	C12orf10
Q1W6H9	FAM110C
Q9NNX6-10	CD209
H7C506	DNAH1
Q16584	MAP3K11
Q9BSJ5	C17orf80
C9JAU5	FAM107A
H0Y413	PRICKLE3
E9PPD2	PSMD13
C9J168	PRPSAP1
K7ELB6	CNTD1
B1AMB1	MAPKAP1
Q96QE5	TEFM
Q14165	MLEC
H0YNV1	SMAD3
E7EUZ9	SERINC2
Q9Y243-2	AKT3
F5H5X2	ALKBH2
Q92784	DPF3
E5RK48	RDH10
D6RF65	UTP15
Q96FV0	LRRC46
G3V131	ZNF57
B4DKY4	RNASE10
Q12884	FAP
J3KMY1	GATC
J3KPX7	PHB2
H0Y6U8	SLC25A27
B8ZZ74	RBM14
Q8IZL9	CDK20
D6RGK3	TAF9
P17039-3	ZNF30
A8MW95	BECN1P1
G3V1S3	DENND5B
B4DX42	SF1
H0YI05	None
G3V5M3	DLST
E9PNB3	TP53I11
Q4W5P6	TMEM155
Q5T760	SFRS11
Q8IYJ7	CYP19A1
H3BNR3	RGSL1
G8JL95	MAU2
Q5TAD1	MIER1
Q8NGB8	OR4F15
Q7L2E3-2	DHX30
F5H5N2	ISCU
H0YLU3	MAN2A2
C9IYU9	TBL1XR1
D6RIB5	IFT122
Q9H3W5	LRRN3
K7EKM0	ZNF529
D6RD65	STX18
F8VZL7	BACH1
Q16478	GRIK5
E5RI20	ANKRD46
Q13889	GTF2H3
E7EP90	POLR2J3
K7EK98	ZNF559
B4DFS1	WSB2
H0YJT5	PMEL
E9PN85	FNTA
H0YEM4	VWA3B
B4DSS3	MAP4K3
E7ES50	COL13A1
H0YDP0	SLC27A3
O60237-4	PPP1R12B
K7EMB7	ESPN
A6NM95	SEMA6D
E9PKZ6	WDR47
P14210-3	HGF
F5H0J8	UBAP1
O43264	ZW10
B7Z1Q2	GAS7
E5RG51	HSF4
Q8NGS3	OR1J1
P40200	CD96
Q8TCZ2-2	CD99L2
H3BS22	SCAMP5
H0YCB3	ASCC1
E7EPF1	ADAM22
H7C3R1	NR2C2
F2Z3F1	None
C9JV49	HARS2
Q9NY46	SCN3A
F5H1Q6	None
Q5T089-2	MORN1
G3V2Z9	TTC8
Q6ZT21	TMPPE
Q9NPC7-4	MYNN
Q9HC47	CTAGE1
Q9Y2U8	LEMD3
Q7Z773	HACL1
H0YK49	ETFA
F8W6J7	HFE2
K7EKR7	SREBF1
P06703	S100A6
C9J3E3	SACM1L
O60716-29	CTNND1
K7ENK0	ZNF555
E9PQ44	ASCC1
H0YEA5	LRP8
Q9BYB0	SHANK3
B5A964	FGFR4
B7Z8Z3	CYP4F3
K7EMU2	PRKAR1A
K7ER90	EIF3G
H7C4Y2	ACOX2
Q4VXF1	FAM74A3
Q9Y3Q7-2	ADAM18
Q15561-2	TEAD4
Q9ULD2-3	MTUS1
B3KWK7	IGFBP3
Q5T9C7	DPM2
H0YHP7	RDH5
Q9Y6Q1	CAPN6
Q6ZR03	None
E9PPE5	C11orf85
Q9UL46	PSME2
E7EX84	MYH2
Q9H255	OR51E2
B5B2M7	NFATC1
Q68CQ4	DIEXF
H0Y599	DOCK4
H3BUH9	GCSH
